id,title,subtitle,description,order
S,ようこそ,はじめての方へ,このサイトの使い方と『欲望という名の電車』の概要を学びます,0
A,コース A,基礎,作品理解の基礎を学ぶコース,1
B,コース B,背景,歴史的・文化的背景を学ぶ,2
